"","indicator_ru","region","variable","value","indicator_en","unit","class"
"1","Денежные доходы (в среднем на душу)","Российская Федерация",1995,515.9,"Cash income (average per capita)","roubles","Living Standards"
"2","Денежные доходы (в среднем на душу)","Центральный федеральный округ",1995,692.3,"Cash income (average per capita)","roubles","Living Standards"
"3","Денежные доходы (в среднем на душу)","Белгородская область",1995,392.5,"Cash income (average per capita)","roubles","Living Standards"
"4","Денежные доходы (в среднем на душу)","Брянская область",1995,342.8,"Cash income (average per capita)","roubles","Living Standards"
"5","Денежные доходы (в среднем на душу)","Владимирская область",1995,317.7,"Cash income (average per capita)","roubles","Living Standards"
"6","Денежные доходы (в среднем на душу)","Воронежская область",1995,345,"Cash income (average per capita)","roubles","Living Standards"
"7","Денежные доходы (в среднем на душу)","Ивановская область",1995,309.9,"Cash income (average per capita)","roubles","Living Standards"
"8","Денежные доходы (в среднем на душу)","Калужская область",1995,438.4,"Cash income (average per capita)","roubles","Living Standards"
"9","Денежные доходы (в среднем на душу)","Костромская область",1995,398.7,"Cash income (average per capita)","roubles","Living Standards"
"10","Денежные доходы (в среднем на душу)","Курская область",1995,313.4,"Cash income (average per capita)","roubles","Living Standards"
"11","Денежные доходы (в среднем на душу)","Липецкая область",1995,377.1,"Cash income (average per capita)","roubles","Living Standards"
"12","Денежные доходы (в среднем на душу)","Московская область",1995,392,"Cash income (average per capita)","roubles","Living Standards"
"13","Денежные доходы (в среднем на душу)","Орловская область",1995,382.9,"Cash income (average per capita)","roubles","Living Standards"
"14","Денежные доходы (в среднем на душу)","Рязанская область",1995,336,"Cash income (average per capita)","roubles","Living Standards"
"15","Денежные доходы (в среднем на душу)","Смоленская область",1995,372.5,"Cash income (average per capita)","roubles","Living Standards"
"16","Денежные доходы (в среднем на душу)","Тамбовская область",1995,311.7,"Cash income (average per capita)","roubles","Living Standards"
"17","Денежные доходы (в среднем на душу)","Тверская область",1995,351,"Cash income (average per capita)","roubles","Living Standards"
"18","Денежные доходы (в среднем на душу)","Тульская область",1995,398.8,"Cash income (average per capita)","roubles","Living Standards"
"19","Денежные доходы (в среднем на душу)","Ярославская область",1995,472.8,"Cash income (average per capita)","roubles","Living Standards"
"20","Денежные доходы (в среднем на душу)","г.Москва",1995,1710.3,"Cash income (average per capita)","roubles","Living Standards"
