item,Сумма,Республика Адыгея (Адыгея),Республика Алтай,Республика Башкортостан - Бирская,Республика Башкортостан - Салаватская,Республика Башкортостан - Стерлитамакская,Республика Башкортостан - Уфимская,Республика Бурятия,Республика Дагестан - Дербентская,Республика Дагестан - Махачкалинская,Республика Ингушетия,Кабардино-Балкарская Республика,Республика Калмыкия,Карачаево-Черкесская Республика,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан) - Московская,Республика Татарстан (Татарстан) - Набережночелнинская,Республика Татарстан (Татарстан) - Нефтяная,Республика Татарстан (Татарстан) - Центральная,Республика Тыва,Удмуртская Республика,Республика Хакасия,Чеченская Республика,Чувашская Республика - Чувашия,Алтайский край,Краснодарский край - Армавирская,Краснодарский край - Каневская,Краснодарский край - Краснодарская,Краснодарский край - Крымская,Краснодарский край - Сочинская,Красноярский край,Приморский край,Ставропольский край,Хабаровский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область - Волгоградская,Волгоградская область - Волжская,Волгоградская область - Михайловская,Вологодская область,Воронежская область - Воронежская,Воронежская область - Павловская,Ивановская область,Иркутская область,Калининградская область,Калужская область,Кемеровская область,Кировская область,Костромская область,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Московская область - Дмитровская,Московская область - Истринская,Московская область - Коломенская,Московская область - Люберецкая,Московская область - Ногинская,Московская область - Подольская,Московская область - Серпуховская,Московская область - Химкинская,Мурманская область,Нижегородская область - Арзамасская,Нижегородская область - Кстовская,Нижегородская область - Нижегородская,Нижегородская область - Семеновская,Новгородская область,Новосибирская область,Омская область - Омская,Омская область - Центральная,Оренбургская область - Новотроицкая,Оренбургская область - Оренбургская,Орловская область,Пензенская область,Псковская область,Ростовская область - Волгодонская,Ростовская область - Каменская,Ростовская область - Новочеркасская,Ростовская область - Ростовская,Ростовская область - Таганрогская,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область - Каменск-Уральская,Свердловская область - Нижнетагильская,Свердловская область - Первоуральская,Свердловская область - Серовская,Свердловская область - Центральная,Смоленская область,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Ульяновская область,Челябинская область - Златоустовская,Челябинская область - Калининская,Челябинская область - Кыштымская,Челябинская область - Магнитогорская,Ярославская область,Город Москва - Восточная,Город Москва - Донская,Город Москва - Кунцевская,Город Москва - Люблинская,Город Москва - Медведковская,Город Москва - Тушинская,Город Москва - Царицынская,Город Москва - Центральная,Город Москва - Черемушкинская,Город Москва - Шереметьевская,Город Санкт-Петербург - Восточная,Город Санкт-Петербург - Западная,Город Санкт-Петербург - Северная,Город Санкт-Петербург - Центральная,Город Санкт-Петербург - Южная,Еврейская автономная область,Ненецкий автономный округ,Ханты-Мансийский автономный округ - Югра,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Пермский край,Камчатский край,Забайкальский край,Город Байконур (Республика Казахстан),Территория за пределами РФ
Number of voters included in the voters list,109229337,340097,151402,741585,726901,746333,802893,670122,800835,842969,192557,531612,215713,319479,560944,743161,533233,656132,625569,511363,683105,698589,762577,730759,163001,1223682,376057,614109,981161,1969757,745514,781521,804196,709504,709356,2183881,1534315,1987827,1054480,655553,988921,764652,1206316,1042619,1263297,677846,657493,653348,982905,932866,978920,847416,1901159,771837,797616,2091969,1127124,564042,760063,949075,1321066,956501,120194,717198,694790,675201,741354,692907,714746,689777,721230,674118,682372,685918,686206,666367,528604,2124564,807981,756613,826136,821440,660996,1124870,581005,660028,643844,667250,659099,679443,967022,2550263,1985524,395894,681544,703118,708426,675138,737976,818502,881360,1140195,782817,1260975,1045051,1053971,721270,687340,656010,685497,1056431,677927,753439,755347,748871,652929,749874,718913,696501,720286,710438,704655,743659,740133,770025,686906,135580,35497,1082458,34224,355680,2121805,257219,822503,16543,320455
The number of ballots received by the precinct election commission,103015720,331049,147742,749347,721749,718792,737065,606373,737262,781302,189665,533008,216987,315279,517376,668904,547601,657438,569548,499494,678790,681929,770813,656696,173109,1157149,374945,615142,888211,1849696,740632,789414,793659,703783,698217,2103622,1442741,1832046,999842,599409,940966,741357,1137057,1018999,1127904,640023,635289,616113,923399,876584,973372,839640,1800018,646528,765493,2003347,1095169,512098,721846,871188,1221025,881900,120239,598629,654441,622357,635970,659183,670360,598059,611429,594369,651794,623423,639363,593484,520108,2001624,806022,665127,808601,796444,646737,1081514,525923,615921,625801,600988,610294,624241,925491,2402354,1936536,376388,606829,664742,598376,621383,667093,801839,819219,1041485,700615,1227125,1022137,944799,638010,589476,605382,632253,952008,598643,651937,657016,644153,538600,637190,612732,583846,641830,637620,558000,580664,586439,640701,553950,135638,31700,1036656,33356,352005,1869008,248877,788604,16356,1619073
The number of ballots issued to voters who voted early,170710,0,1198,0,0,0,0,1814,0,103,538,0,0,0,637,15533,313,0,4724,870,0,0,0,0,3887,0,298,5336,0,70,0,0,0,0,0,4606,1352,0,2004,2211,2038,286,0,0,0,0,0,0,0,0,0,2114,436,424,335,496,72,0,0,0,55,0,2398,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,740,1459,392,562,731,2108,0,0,0,471,432,0,3173,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,2896,12939,1674,23241,2385,1252,159,0,60335
The number of ballots issued to voters at the polling station,61242441,206096,89202,584782,561666,574596,550160,350933,717576,765666,164899,510613,127039,291166,268564,500562,342803,574139,345288,425591,545032,586661,641399,424179,126767,660722,193408,603052,568494,965938,465701,512454,531641,474684,457197,1030957,713524,918453,528518,330429,464362,397475,813873,558942,558470,315924,308347,313918,507369,477993,576600,392524,836887,407466,416293,1337321,545422,293959,390359,455797,642635,480077,57936,328962,353367,290659,383629,317752,365435,339886,366324,339170,414529,373562,338011,331453,275578,1134207,460531,358416,386386,402055,372457,663540,258979,373019,344480,362955,350939,366364,453300,1279101,1230438,182232,315484,349182,334304,331561,372326,361692,518660,535193,375434,827574,756596,587739,376456,375812,379568,412723,535438,423263,480194,438664,446020,356069,409714,461799,419255,416415,455461,388144,401153,397708,407713,360164,66312,16586,568564,24361,264182,937144,132585,406555,8620,231838
The number of ballots issued to voters outside the polling station,4353443,17934,5867,34823,31776,32706,21108,28777,5876,7941,1014,12364,9295,6577,12996,23542,37206,43996,25671,12262,28409,22247,21946,14749,9741,31320,17794,2708,36489,68771,64635,63938,51630,49308,51390,49975,32361,92366,30123,21624,28039,30573,96325,65832,55302,20018,24880,51514,46311,26725,147552,56132,58094,13760,42602,114592,63679,29128,38780,63706,37855,64224,2848,16442,16987,24270,10266,12680,13452,20074,17778,9392,52400,42151,9528,40255,23497,73160,39493,13093,27042,27699,55510,66657,48638,38456,40909,33428,34259,19436,56315,71881,104853,10643,20854,18145,15934,25563,6303,44508,83011,74152,19166,90146,36093,48631,23955,19830,27151,25428,54945,12600,13211,10979,9964,11854,13708,11857,16064,11894,14796,11041,9447,13765,14546,9688,4183,439,12514,1050,4844,81151,3977,34315,147,9224
The number of canceled ballots,37246505,107018,51473,129734,128303,111489,165612,224849,13810,7542,23213,10030,80653,17536,235179,129267,167279,39297,193865,60756,105349,73021,107468,217768,32712,465103,163440,4046,283220,814909,210296,213022,210368,179787,189630,1018056,695489,821226,439197,245141,446527,313023,226849,394154,514111,304073,302062,250676,369719,371864,249219,388870,904591,224655,306259,550932,485993,189009,292707,351685,540437,337593,57057,253215,284017,307390,242006,328699,291439,238024,227239,244725,184851,207710,291824,221776,220722,794257,305998,293618,394786,366687,218749,351312,218306,204445,240407,204580,225082,238438,415875,1051369,600168,182056,270094,296851,247405,262149,288464,395639,217548,431668,305582,309403,226275,308429,237549,193800,198661,194099,361623,162782,158532,207373,188157,170677,213767,139076,148527,213521,167363,158804,170027,174790,218391,184050,64974,11779,442633,6271,59738,848164,111055,347575,7589,1317663
The number of ballots in mobile ballot boxes,4522236,17934,7055,34823,31776,32705,21106,30577,5876,8044,1546,12355,9294,6577,13632,39046,37510,43974,30378,13132,28407,22245,21946,14747,13625,31309,18090,8044,36486,68806,64628,63904,51629,49307,51373,54572,33709,92313,32124,23805,30076,30853,96324,65822,55299,20016,24875,51513,46309,26724,147509,58206,58528,14183,42936,115073,63698,29095,38778,63705,37908,64224,5244,16441,16980,24248,10265,12663,13450,20074,17775,10445,52398,42137,9527,40245,23493,73153,39492,13089,27366,27698,55468,66651,48634,38456,40909,33424,34251,19422,56312,71855,105576,12100,21235,18704,16665,27671,6301,44508,83007,74619,19595,90125,39263,48629,23990,19826,27151,25427,54943,12580,13209,10968,9957,11849,13681,11851,16052,11890,14782,11030,9425,13746,14485,8931,4351,3329,25428,2724,28080,83535,5226,34467,147,69550
The number of ballots in the stationary ballot boxes,61126454,206011,89209,584693,561102,574279,549479,350838,717549,765651,164739,510369,127003,291144,268271,499861,342626,573379,345039,425321,544642,586359,641364,423634,126719,659966,193309,603052,568138,965328,465545,512067,530471,474226,456728,1029813,712229,916936,528022,330165,463968,396261,813666,557942,557328,315385,308299,313879,506722,477524,576033,392278,836677,406968,416069,1334968,544901,293846,390260,455531,641324,479856,57846,327899,352388,290262,382525,316411,364496,338989,365238,338304,414308,373268,337639,331245,275052,1133306,460162,357534,386247,401936,371968,663089,258524,372703,344407,362714,350060,366079,452948,1277684,1224481,182184,315348,348951,334129,331506,372065,361572,516632,534369,375139,826501,755510,587343,376218,375016,379385,412623,535037,419835,477496,435335,443555,355038,406914,458852,415357,414562,450720,383750,397497,393248,400024,356058,66176,16584,568169,24348,263952,936044,132310,406271,8589,231569
Number of invalid ballots,1033438,3099,1248,6014,6654,4988,6494,5563,1529,1091,1407,206,2194,674,5444,7103,5005,2954,4574,5442,4873,4106,5714,6025,1343,10640,3423,369,17754,19730,9330,7130,9295,8405,9175,19003,17693,18921,9692,6230,5711,6995,14912,8719,9532,5392,4646,4785,9814,6875,8773,6808,12536,6847,7179,22500,8999,3991,5651,7644,16568,10500,851,9762,9985,9496,9820,11218,10573,10140,14995,6483,6097,4205,4714,4503,5542,18170,9015,7797,5215,6390,7867,13694,4391,4588,4420,6776,5113,5331,7987,26857,18593,3146,8191,9980,8547,9153,9162,6647,9161,8128,7328,11066,9425,8959,7571,6521,6194,7481,9153,8248,8373,7472,7689,6635,7780,7440,6938,7549,8417,6057,6550,6180,6544,5721,1766,293,10591,835,3148,22480,2845,6718,275,4582
Number of valid ballots,64615252,220846,95016,613502,586224,601996,564091,375852,721896,772604,164878,522518,134103,297047,276459,531804,375131,614399,370843,433011,568176,604498,657596,432356,139001,680635,207976,610727,586870,1014404,520843,568841,572805,515128,498926,1065382,728245,990328,550454,347740,488333,420119,895078,615045,603095,330009,328528,360607,543217,497373,714769,443676,882669,414304,451826,1427541,599600,318950,423387,511592,662664,533580,62239,334578,359383,305014,382970,317856,367373,348923,368018,342266,460609,411200,342452,366987,293003,1188289,490639,362826,408398,423244,419569,716046,302767,406571,380896,389362,379198,380170,501273,1322682,1311464,191138,328392,357675,342247,350024,369204,399433,590478,600860,387406,905560,785348,627013,392637,388321,400342,430569,580827,424167,482332,438831,445823,360252,412815,463263,424471,418903,457085,388723,400372,400814,407965,359268,68761,19620,583006,26237,288884,997099,134691,434020,8461,296537
