item,Сумма,Республика Адыгея (Адыгея),Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Республика Калмыкия,Карачаево-Черкесская Республика,Республика Карелия,Республика Коми,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Удмуртская Республика,Республика Хакасия,Чеченская Республика,Чувашская Республика - Чувашия,Алтайский край,Забайкальский край,Камчатский край,Краснодарский край,Красноярский край,Пермский край,Приморский край,Ставропольский край,Хабаровский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,Ивановская область,Иркутская область,Калининградская область,Калужская область,Кемеровская область,Кировская область,Костромская область,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Московская область,Мурманская область,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Псковская область,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Ульяновская область,Челябинская область,Ярославская область,Город Москва,Город Санкт-Петербург,Еврейская автономная область,Ненецкий автономный округ,Ханты-Мансийский автономный округ - Югра,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Город Байконур (Республика Казахстан),Территория за пределами РФ
Number of voters included in the voter lists,107222016,333887,141813,2922491,678759,1433651,165968,517715,211674,302748,564678,748397,510777,657715,594480,483927,2831072,164110,1217874,389905,587164,955051,1999177,809100,260211,3556142,2129015,2106200,1514321,1929075,1046739,646683,1001888,754985,1187119,1043197,1217308,1844337,983232,1910819,883063,1863300,742480,798678,2099066,1135492,571439,771954,957465,1244438,948315,124162,5447571,682267,2742532,541502,2039733,1533043,1603049,660794,1131242,593834,3299852,976685,2491299,1967217,404706,3523318,830020,849705,1166301,772259,1258913,1021589,1064892,2720320,1067252,6998056,3357847,133887,38319,1008746,36553,348507,16239,400711
The number of ballots received by the precinct election commissions,102767070,314463,137226,2825152,660549,1363228,164037,519681,202344,289934,516266,691546,541185,648122,559986,447759,2710320,165415,1091236,359247,587164,929950,1832864,761089,249957,3643164,2051772,1953516,1408728,1785346,1016986,638899,953340,717958,1132363,1021814,1134447,1901334,946525,1786243,871708,1751420,632329,784654,2007694,1076341,553145,751302,891145,1179896,877690,120694,5130500,606779,2588992,518555,1956248,1438504,1601651,642484,1079718,575407,3042963,919808,2348405,1902449,382036,3268908,815545,830427,1079680,704893,1210955,967633,1023147,2512434,964126,6120268,3132505,128499,29427,1012142,35822,354387,17500,1665100
The number of ballots issued to voters who voted early,188421,0,891,147,2372,0,0,0,0,0,979,2709,351,0,6125,4012,0,4064,0,191,2404,0,86,378,1108,137,5428,2086,2197,0,1951,2013,885,2331,0,0,0,0,0,0,505,907,0,472,370,0,0,0,0,107,0,901,0,769,402,0,0,0,1849,0,0,0,0,0,0,730,2229,3238,0,0,243,1821,0,3780,0,627,0,0,0,332,7096,7720,1401,29354,0,80723
The number of ballots issued to the polling stations on election day,69061788,205015,100499,2519692,439762,1284248,151575,459880,133256,270744,296586,507080,377713,556977,415354,335878,2250573,118184,739083,221712,530964,646952,1141385,523028,146587,2781193,1230004,1077413,918462,1165125,732569,419434,588231,460920,825632,570784,605486,1063345,589942,1132115,410376,1117622,415560,479067,1602421,703004,323830,448095,558061,734035,646006,79719,3562550,453401,1663729,289924,1223643,1205458,946747,429018,748200,325728,2083556,535976,1348451,1337138,208464,1957262,464673,545811,665528,433702,751070,818150,601377,1724401,571370,4467806,2214692,85570,15875,762715,29692,286469,12534,239930
The number of ballots issued outside polling stations on election day,5599055,12083,7623,112196,41766,11882,1653,14859,9893,8386,17367,27958,48362,53974,25295,14639,107431,10150,43338,21600,2126,54444,80280,47520,5476,328544,70613,95354,52684,112707,44777,30937,34403,42357,99778,85830,72486,132097,67943,206124,57601,88333,18342,58788,118104,95079,38874,44238,75890,59875,86568,4846,212926,10147,169255,29851,107298,69383,82647,70560,86501,73651,222268,64497,109393,130928,11833,116632,75259,121016,103297,28053,113713,36967,61270,126090,66019,171597,79785,5567,788,22650,1090,4727,165,9759
The number of canceled ballots,27917371,97365,28212,193111,176645,67064,10809,44942,59195,10802,201334,153799,114759,37171,113210,93224,352314,33013,308809,115744,51647,228554,611113,190163,96786,533290,745720,778661,435384,507512,237689,186515,329815,212350,206953,365200,456474,705880,288640,447998,403224,544558,198422,246327,286798,278258,190441,258969,257194,385875,145116,35227,1354894,142458,755605,198780,625307,163663,570400,142906,245017,176028,737073,319310,890560,433642,159510,1191776,275613,163600,310612,241317,346172,108736,360500,661292,326737,1480847,838028,37030,5668,219056,3639,33837,4801,1334682
The number of ballots in mobile ballot boxes,5786127,12083,8514,112335,44137,11870,1653,14859,9893,8386,18345,30666,48713,53972,31408,18650,107428,14196,43338,21791,4530,54441,80360,47896,6578,328676,76038,97437,54879,112707,46712,32923,35288,44687,99777,85829,72445,132094,67942,206111,58013,89239,18340,59259,118472,95079,38874,44236,75889,59974,86567,5746,212894,10915,169651,29849,107289,69378,84492,70560,86500,73641,222253,64497,109392,131655,14062,119867,75251,121005,103536,29871,113710,40729,61261,126705,66019,170800,79720,5899,7876,30369,2491,34078,165,90472
The number of ballots in the stationary ballot boxes,68960522,204960,100479,2518545,439698,1283833,151575,459861,133212,270742,296410,506616,377673,556605,414244,335677,2249935,118022,738680,221639,530731,646769,1140053,522504,146301,2778997,1228400,1076807,917799,1164552,732003,419042,587850,460592,825431,570667,604514,1062347,589402,1131298,408660,1117135,415299,478496,1601773,702766,323676,447818,557784,732472,645859,79669,3556365,453031,1662704,289494,1222667,1204624,946412,428810,747904,325593,2081599,534717,1347464,1336237,208415,1955977,464438,545275,665077,433399,750586,817320,600777,1723124,570336,4423426,2207038,85492,15873,762179,29668,286398,12520,239711
Number of invalid ballots,1015533,1963,1264,15375,6667,2530,106,550,1484,723,3793,6013,4836,3367,6645,6871,24858,1543,9015,3389,610,13685,15532,6083,2058,40913,18301,14709,15578,13629,12171,6073,5855,4506,14984,8197,7900,12025,6629,16714,5521,15003,6119,7262,56120,10432,3403,3707,7546,8785,11559,1232,61637,6116,24052,3407,17079,18614,10379,8929,17980,4190,18330,8771,17704,16186,2866,32730,8106,13417,8654,7223,13683,9258,8848,24186,10431,110257,40311,1484,384,10321,445,2081,119,3522
Number of valid ballots,73731116,215080,107729,2615505,477168,1293173,153122,474170,141621,278405,310962,531269,421550,607210,439007,347456,2332505,130675,773003,240041,534651,687525,1204881,564317,150821,3066760,1286137,1159535,957100,1263630,766544,445892,617283,500773,910224,648299,669059,1182416,650715,1320695,461152,1191371,427520,530493,1664125,787413,359147,488347,626127,783661,720867,84183,3707622,457830,1808303,315936,1312877,1255388,1020525,490441,816424,395044,2285522,590443,1439152,1451706,219611,2043114,531583,652863,759959,456047,850613,848791,653190,1825643,625924,4483969,2246447,89907,23365,782227,31714,318395,12566,326661
The number of absentee ballots received,2261098,1915,3652,57438,19548,9540,950,2585,6329,1531,8231,17715,24270,16578,14109,13075,58724,2466,22497,8396,4371,57397,21214,19938,2365,66324,34881,34420,31541,19008,23072,12266,13904,24790,15591,17853,18642,24492,27453,34059,16271,61692,8540,20138,47551,28893,9668,16127,18984,23838,14128,1755,154231,11383,45728,7148,45882,40813,14614,15333,20259,12583,74141,16614,42850,60599,5886,62318,15600,13630,23537,17978,30926,28422,37695,53855,23428,184095,84637,4951,484,28000,1108,11235,420,10000
The number of absentee ballots issued to voters at the polling stations,1798965,1047,1934,49071,12996,668,287,1063,4623,744,4694,15176,22928,9779,8830,8145,41788,1050,18117,7243,396,47477,13906,13363,1220,64146,21342,25460,26302,15764,20646,6773,10088,22908,10953,14310,14047,19631,24910,30976,13740,57270,5989,18782,44749,26114,8238,12968,17122,18292,12571,725,112781,6132,39271,5311,41443,38100,12709,12021,15703,8414,50318,9297,31841,50777,3453,40165,14345,11879,21190,10493,30086,20987,35124,47584,12273,159710,73565,3212,122,21434,395,6810,122,537
The number of voters who voted with absentee ballots,1319640,649,1172,26405,7969,443,226,968,2651,600,3745,11045,13983,5613,6453,2610,30135,587,11871,5461,32,23586,12346,10054,1004,47640,17072,19523,20477,15090,15873,4819,8217,20885,8192,8475,9263,14525,16651,20175,7849,38764,4888,10828,27107,18451,5536,7431,10667,13196,9439,545,84018,4680,29351,4002,33650,27454,10489,8009,10012,5233,32768,6699,22143,31816,2626,34489,8646,9055,15896,7561,17432,17656,12251,40925,8569,159962,63070,2079,451,20125,404,3392,60,3481
