Средний размер назначенных пенсий,
,
Единицы измерения: ,* рубль
Периодичность и характеристика временного ряда: ,"- Квартальная
  * Данные предоставляются: на 25-й рабочий день после отчетного периода
  * Следующее обновление данных: 05.02.2015
- Годовая
  * Данные предоставляются: 2 апреля
  * Следующее обновление данных: 02.04.2015"
Длина временного ряда: ,1998 - 2014
Последнее обновление данных: ,11.09.2014
Признаки (перечень на базе классификаторов и справочников): ,"- РФ, ФО, субъекты (Территории)
  * Агинский Бурятский авт.округ
  * Алтайский край
  * Амурская область
  * Архангельская область
  * Астраханская область
  * Белгородская область
  * Брянская область
  * Владимирская область
  * Волго-Вятский район
  * Волгоградская область
  * Вологодская область
  * Воронежская область
  * Восточно-Сибирский район
  * г.Москва
  * г.Санкт-Петербург
  * Дальневосточный район
  * Дальневосточный федеральный округ
  * Еврейская автономная область
  * Забайкальский край
  * Западно-Сибирский район
  * Ивановская область
  * Иркутская область
  * Кабардино-Балкарская Республика
  * Калининградская область
  * Калужская область
  * Камчатский край
  * Карачаево-Черкесская Республика
  * Кемеровская область
  * Кировская область
  * Коми-Пермяцкий авт.округ
  * Корякский автономный  округ
  * Костромская область
  * Краснодарский край
  * Красноярский край
  * Курганская область
  * Курская область
  * Ленинградская область
  * Липецкая область
  * Магаданская область
  * Московская область
  * Мурманская область
  * Ненецкий автономный округ
  * Нижегородская область
  * Новгородская область
  * Новосибирская область
  * Омская область
  * Оренбургская область
  * Орловская область
  * Пензенская область
  * Пермский край
  * Поволжский район
  * Приволжский федеральный округ
  * Приморский край
  * Псковская область
  * Республика Адыгея
  * Республика Алтай
  * Республика Башкортостан
  * Республика Бурятия
  * Республика Дагестан
  * Республика Ингушетия
  * Республика Калмыкия
  * Республика Карелия
  * Республика Коми
  * Республика Марий Эл
  * Республика Мордовия
  * Республика Саха (Якутия)
  * Республика Северная Осетия - Алания
  * Республика Татарстан
  * Республика Тыва
  * Республика Хакасия
  * Российская Федерация
  * Ростовская область
  * Рязанская область
  * Самарская область
  * Саратовская область
  * Сахалинская область
  * Свердловская область
  * Северный район
  * Северо-Западный район
  * Северо-Западный федеральный округ
  * Северо-Кавказский район
  * Северо-Кавказский федеральный округ
  * Сибирский федеральный округ
  * Смоленская область
  * Ставропольский край
  * Таймырский (Долгано-Ненецкий) авт.округ
  * Тамбовская область
  * Тверская область
  * Томская область
  * Тульская область
  * Тюменская область
  * Удмуртская Республика
  * Ульяновская область
  * Уральский район
  * Уральский федеральный округ
  * Усть-Ордынский Бурятский авт.округ
  * Хабаровский край
  * Ханты-Мансийский автономный округ-Югра
  * Центрально-Черноземный район
  * Центральный район
  * Центральный федеральный округ
  * Челябинская область
  * Чеченская Республика
  * Чувашская Республика
  * Чукотский автономный округ
  * Эвенкийский авт.окpуг
  * Южный федеральный  округ (с 2010 года)
  * Южный федеральный округ (по 2009 год)
  * Ямало-Ненецкий автономный округ
  * Ярославская область"
Методологические пояснения: ,"Определяется делением общей суммы назначенных пенсий на численность пенсионеров, состоящих на учете в системе Пенсионного фонда Российской Федерации."
Ведомство (субъект статистического учета): ,Федеральная служба государственной статистики
Подразделение: ,Управление статистики уровня жизни и обследований домашних хозяйств
Размещение: ,* По федеральному плану статработ / Федеральная служба государственной статистики / Доходы и уровень жизни населения / Основные показатели пенсионного обеспечения в Российской Федерации
Комментарий: ,"Показатель отражает сведения о&nbsp;среднем размере&nbsp;назначенных&nbsp;пенсий&nbsp;в целом по Российской Федерации, федеральным округам и субъектам Российской Федерации."
Ответственный: ,Воронцова Е.А. - (495) 632-90-64 Vorontsova@gks.ru 
Формы статистического наблюдения: ,* Сведения о численности пенсионеров и суммах назначенных им пенсий
