Численность пенсионеров,,,,,,,
,,,,,,,
,,2008,2009,2011,2012,2013,2014
,,на 1 января,на 1 января,на 1 января,на 1 января,на 1 января,на 1 января
Российская Федерация,        тысяча человек,38 467,38 598,39 706,40 162,40 573,41 019
    Центральный федеральный округ,        тысяча человек,10 572,10 576,10 791,10 897,10 994,11 094
        Белгородская область,        тысяча человек,460,461,471,478,485,492
        Брянская область,        тысяча человек,413,408,407,408,409,411
        Владимирская область,        тысяча человек,447,447,454,456,456,457
        Воронежская область,        тысяча человек,731,725,727,730,733,736
        Ивановская область,        тысяча человек,327,324,327,327,327,328
        Калужская область,        тысяча человек,291,291,298,300,302,305
        Костромская область,        тысяча человек,207,205,207,208,208,209
        Курская область,        тысяча человек,376,374,378,381,383,386
        Липецкая область,        тысяча человек,367,368,375,377,379,380
        Московская область,        тысяча человек,1 790,1 800,1 854,1 879,1 841,1 871
        Орловская область,        тысяча человек,260,259,263,264,266,267
        Рязанская область,        тысяча человек,387,386,387,387,386,386
        Смоленская область,        тысяча человек,297,296,299,300,301,303
        Тамбовская область,        тысяча человек,358,353,352,351,350,350
        Тверская область,        тысяча человек,426,422,425,425,425,425
        Тульская область,        тысяча человек,555,551,552,551,549,547
        Ярославская область,        тысяча человек,397,395,402,405,405,405
        г.Москва,        тысяча человек,2 483,2 511,2 613,2 670,2 789,2 836
    Северо-Западный федеральный округ,        тысяча человек,3 874,3 888,4 001,4 039,4 071,4 108
        Республика Карелия,        тысяча человек,224,225,231,234,235,236
        Республика Коми,        тысяча человек,283,283,291,293,294,296
        Архангельская область,        тысяча человек,415,415,422,424,426,427
            Ненецкий автономный округ,        тысяча человек,11,11,12,12,13,13
            Архангельская область (без АО),        тысяча человек,,,,,,414
        Вологодская область,        тысяча человек,345,345,355,357,360,363
        Калининградская область,        тысяча человек,227,229,242,247,250,254
        Ленинградская область,        тысяча человек,445,448,460,466,471,475
        Мурманская область,        тысяча человек,244,244,247,249,249,249
        Новгородская область,        тысяча человек,202,200,201,201,202,203
        Псковская область,        тысяча человек,212,210,210,210,209,210
