indicator_ru,region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,Российская Федерация,89.90,75.90,82.90,94.90,102.10,107.60,109.60,103.60,103.70,115.40,122.50,151.00,162.20,168.80,173.30,166.50
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Белгородская область,121.80,97.80,95.10,107.40,114.20,127.10,125.20,132.50,116.00,131.90,141.80,174.20,189.20,198.20,206.90,188.80
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Брянская область,127.40,104.70,107.40,119.70,119.90,126.60,125.20,131.60,113.00,124.80,131.90,164.60,177.20,185.20,197.30,170.70
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Владимирская область,112.00,89.40,109.60,116.50,127.40,126.50,122.70,127.50,105.30,115.40,118.80,149.40,160.50,168.10,173.90,168.60
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Воронежская область,117.60,93.10,92.90,95.10,105.50,117.60,119.30,124.00,121.10,118.20,124.00,141.20,154.40,166.50,181.90,183.90
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Ивановская область,114.40,96.80,91.80,104.90,105.60,110.30,109.00,124.10,112.30,117.60,126.80,154.50,163.70,168.70,171.90,163.50
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Калужская область,109.70,92.80,98.70,109.90,108.30,112.50,114.80,124.70,109.40,123.50,132.10,164.70,178.10,189.40,198.20,178.80
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Костромская область,111.00,96.70,99.60,108.70,112.20,114.30,114.80,120.00,115.50,119.90,122.90,148.30,156.30,159.90,161.60,164.00
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Курская область,118.50,90.30,81.40,86.50,90.00,86.70,93.40,106.90,109.10,117.80,124.30,151.60,163.10,175.70,183.40,182.60
Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,        Липецкая область,118.60,92.30,96.40,111.80,119.80,126.40,128.80,136.20,129.90,125.20,126.70,155.70,164.50,176.30,183.30,180.80
