indicator_ru,region,2009,2010,2011,2012,2013
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),Российская Федерация,9986.40,11176.30,13091.10,14991.70,16852.80
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Центральный федеральный округ,12048.50,13337.60,15681.50,18163.20,20183.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Белгородская область,13044.30,14668.10,18271.10,21452.90,22936.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Брянская область,8575.20,9865.90,12048.40,14781.80,18305.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Владимирская область,11777.40,13140.90,14709.50,16938.00,18224.80
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Воронежская область,9386.40,10512.30,12579.50,15081.40,17352.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Ивановская область,9096.40,10130.60,11102.00,12195.30,13757.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Калужская область,13159.20,15298.70,18095.50,19805.70,21271.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Костромская область,11838.90,13550.60,14862.10,15735.80,17141.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Курская область,9831.10,11042.70,13382.90,16486.30,19312.30
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Липецкая область,12180.60,12580.40,14658.40,17484.10,19859.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Московская область,18878.90,20445.90,21981.50,24244.10,26382.50
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Московская область в старых границах,,,22807.70,25249.50,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Орловская область,9776.20,10839.80,12722.80,14870.90,16804.80
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Рязанская область,11165.00,12617.40,14350.70,16581.70,17870.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Смоленская область,8130.80,9698.10,11183.90,12390.30,12781.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Тамбовская область,9645.10,10681.90,13346.50,15990.70,19654.20
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Тверская область,9365.50,10366.90,12402.80,13879.80,16353.00
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Тульская область,12528.60,14036.20,15735.20,17586.30,19675.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Ярославская область,11462.90,12608.90,16026.10,17782.30,18173.10
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        г.Москва,28247.20,25601.70,28511.10,33389.10,37519.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        г.Москва в старых границах,,,24263.90,25290.00,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),    Северо-Западный федеральный округ,14724.70,16073.70,18063.80,20598.50,22497.40
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Карелия,12395.70,13203.80,14975.40,17229.00,18917.70
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Республика Коми,14783.80,16773.70,18973.70,22035.20,23661.50
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Архангельская область,12817.00,14663.60,16439.60,18499.70,20743.20
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),            Архангельская область (частично),12549.00,14410.90,16403.50,,
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),            Ненецкий автономный округ,13791.80,15699.70,16897.40,20161.20,22293.60
Среднемесячная заработная плата работников сельского хозяйства (без субъектов малого предпринимательства),        Вологодская область,12398.90,13444.30,15216.60,16785.40,18180.10
