indicator_ru,region,variable,value,indicator_en,unit,class
у моря,Алтайский край,2014,0,by the sea,unit,qualitative
у моря,Амурская область,2014,0,by the sea,unit,qualitative
у моря,Архангельская область,2014,1,by the sea,unit,qualitative
у моря,Астраханская область,2014,1,by the sea,unit,qualitative
у моря,Белгородская область,2014,0,by the sea,unit,qualitative
у моря,Брянская область,2014,0,by the sea,unit,qualitative
у моря,Владимирская область,2014,0,by the sea,unit,qualitative
у моря,Волгоградская область,2014,0,by the sea,unit,qualitative
у моря,Вологодская область,2014,0,by the sea,unit,qualitative
у моря,Воронежская область,2014,0,by the sea,unit,qualitative
у моря,г.Москва,2014,0,by the sea,unit,qualitative
у моря,г.Санкт-Петербург,2014,1,by the sea,unit,qualitative
у моря,Еврейская автономная область,2014,0,by the sea,unit,qualitative
у моря,Забайкальский край,2014,0,by the sea,unit,qualitative
у моря,Ивановская область,2014,0,by the sea,unit,qualitative
у моря,Иркутская область,2014,0,by the sea,unit,qualitative
у моря,Кабардино-Балкарская Республика,2014,0,by the sea,unit,qualitative
у моря,Калининградская область,2014,1,by the sea,unit,qualitative
у моря,Калужская область,2014,0,by the sea,unit,qualitative
у моря,Камчатский край,2014,1,by the sea,unit,qualitative
у моря,Карачаево-Черкесская Республика,2014,0,by the sea,unit,qualitative
у моря,Кемеровская область,2014,0,by the sea,unit,qualitative
у моря,Кировская область,2014,0,by the sea,unit,qualitative
у моря,Костромская область,2014,0,by the sea,unit,qualitative
у моря,Краснодарский край,2014,1,by the sea,unit,qualitative
у моря,Красноярский край,2014,1,by the sea,unit,qualitative
у моря,Курганская область,2014,0,by the sea,unit,qualitative
у моря,Курская область,2014,0,by the sea,unit,qualitative
у моря,Ленинградская область,2014,1,by the sea,unit,qualitative
у моря,Липецкая область,2014,0,by the sea,unit,qualitative
у моря,Магаданская область,2014,1,by the sea,unit,qualitative
у моря,Московская область,2014,0,by the sea,unit,qualitative
у моря,Мурманская область,2014,1,by the sea,unit,qualitative
у моря,Ненецкий автономный округ,2014,1,by the sea,unit,qualitative
у моря,Нижегородская область,2014,0,by the sea,unit,qualitative
у моря,Новгородская область,2014,0,by the sea,unit,qualitative
у моря,Новосибирская область,2014,0,by the sea,unit,qualitative
у моря,Омская область,2014,0,by the sea,unit,qualitative
у моря,Оренбургская область,2014,0,by the sea,unit,qualitative
у моря,Орловская область,2014,0,by the sea,unit,qualitative
у моря,Пензенская область,2014,0,by the sea,unit,qualitative
у моря,Пермский край,2014,0,by the sea,unit,qualitative
у моря,Приморский край,2014,1,by the sea,unit,qualitative
у моря,Псковская область,2014,0,by the sea,unit,qualitative
у моря,Республика Адыгея,2014,0,by the sea,unit,qualitative
у моря,Республика Алтай,2014,0,by the sea,unit,qualitative
у моря,Республика Башкортостан,2014,0,by the sea,unit,qualitative
у моря,Республика Бурятия,2014,0,by the sea,unit,qualitative
у моря,Республика Дагестан,2014,1,by the sea,unit,qualitative
у моря,Республика Ингушетия,2014,0,by the sea,unit,qualitative
у моря,Республика Калмыкия,2014,1,by the sea,unit,qualitative
у моря,Республика Карелия,2014,1,by the sea,unit,qualitative
у моря,Республика Коми,2014,1,by the sea,unit,qualitative
у моря,Республика Марий Эл,2014,0,by the sea,unit,qualitative
у моря,Республика Мордовия,2014,0,by the sea,unit,qualitative
у моря,Республика Саха (Якутия),2014,1,by the sea,unit,qualitative
у моря,Республика Северная Осетия - Алания,2014,0,by the sea,unit,qualitative
у моря,Республика Татарстан,2014,0,by the sea,unit,qualitative
у моря,Республика Тыва,2014,0,by the sea,unit,qualitative
у моря,Республика Хакасия,2014,0,by the sea,unit,qualitative
у моря,Ростовская область,2014,0,by the sea,unit,qualitative
у моря,Рязанская область,2014,0,by the sea,unit,qualitative
у моря,Самарская область,2014,0,by the sea,unit,qualitative
у моря,Саратовская область,2014,0,by the sea,unit,qualitative
у моря,Сахалинская область,2014,1,by the sea,unit,qualitative
у моря,Свердловская область,2014,0,by the sea,unit,qualitative
у моря,Смоленская область,2014,0,by the sea,unit,qualitative
у моря,Ставропольский край,2014,0,by the sea,unit,qualitative
у моря,Тамбовская область,2014,0,by the sea,unit,qualitative
у моря,Тверская область,2014,0,by the sea,unit,qualitative
у моря,Томская область,2014,0,by the sea,unit,qualitative
у моря,Тульская область,2014,0,by the sea,unit,qualitative
у моря,Тюменская область,2014,0,by the sea,unit,qualitative
у моря,Удмуртская Республика,2014,0,by the sea,unit,qualitative
у моря,Ульяновская область,2014,0,by the sea,unit,qualitative
у моря,Хабаровский край,2014,1,by the sea,unit,qualitative
у моря,Ханты-Мансийский автономный округ-Югра,2014,0,by the sea,unit,qualitative
у моря,Челябинская область,2014,0,by the sea,unit,qualitative
у моря,Чеченская Республика,2014,0,by the sea,unit,qualitative
у моря,Чувашская Республика,2014,0,by the sea,unit,qualitative
у моря,Чукотский автономный округ,2014,1,by the sea,unit,qualitative
у моря,Ямало-Ненецкий автономный округ,2014,1,by the sea,unit,qualitative
у моря,Ярославская область,2014,0,by the sea,unit,qualitative
