region,unit,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Агинский Бурятский автономный округ,все население,,,,488190,574,1065,,,2044,2652,2359,2710,3169,3527,4268,,,,,,
Камчатская область,все население,114867,386967,790933,856800,869,1473,,,3348,3705,3909,4850,6274,7049,,,,,,,
Пермская область,все население,58331,215422,337083,371392,369,742,,,1713,2078,2372,2767,3145,,,,,,,,
"Российская Федерация, из них:",все население,54112,199941,356139,401883,423,824,1138,1396,1719,2047,2293,2910,3374,3696,4402,5083,5518,6473,6307,7095,7688
        Белгородская область,все население,39559,147114,241000,301000,325,569,,,,1692,1882,2289,2565,3077,3559,4086,4435,5295,4990,5825,6369
        Брянская область,все население,44772,149151,268387,281801,316,628,,,1406,1652,1893,2111,2567,3098,3717,4217,4641,5481,5203,6332,6969
        Владимирская область,все население,50434,171948,300567,334300,"344,8",649,,,1442,1724,2017,2394,2928,3655,4271,4899,5272,6216,6128,6630,7318
        Воронежская область,все население,38121,142807,249837,308351,329,629,,,,1798,1907,2408,2769,2969,3830,4818,5189,6074,5321,5766,6512
        Ивановская область,все население,46612,164015,275844,318682,320,700,,,1653,1947,2296,2555,2853,3345,4017,4670,4990,6000,5817,6544,7461
        Калужская область,все население,45198,168900,299295,314157,356,727,,,1573,1972,2182,2523,2916,3300,3887,4530,4853,5772,5443,6440,7160
        Костромская область,все население,51633,186467,302600,318500,329,704,,,1537,1883,2108,2374,2719,3259,3946,4734,5190,6254,6081,6664,7185
        Курская область,все население,32369,142035,264112,292304,324,644,,,1638,2007,2324,2555,2801,3138,3888,4674,4924,5730,5361,6305,6351
        Липецкая область,все население,40959,157191,263394,299477,"308,2",608,,,1410,1695,1933,2245,2742,3140,3838,4699,5081,6013,5720,5680,6569
        Московская область,все население,53268,199498,337343,346977,384,776,,1458,1815,2279,2513,3145,3696,3998,4934,5774,6287,7112,6906,7679,8533
        Орловская область,все население,38234,142776,252479,302934,338,662,,,,,1860,2296,2624,2799,3475,4093,4480,5352,5018,6152,6846
        Рязанская область,все население,50097,160050,281523,298581,"331,7",715,,1187,1511,1821,2013,2392,2966,3251,4070,4829,5205,6206,5968,6385,6805
        Смоленская область,все население,40707,149230,278554,290995,321,705,,1182,1522,1902,2098,2386,3157,3447,4063,4773,5421,6873,6668,7443,7928
        Тамбовская область,все население,39501,136918,220048,267320,295,623,,,1363,1568,1742,2105,2412,2854,3240,3685,3964,4442,4658,4955,6123
        Тверская область,все население,54600,170428,297665,312971,344,746,,,1605,1967,2240,2629,2961,3390,4241,4919,5267,6097,5972,6809,7547
        Тульская область,все население,49188,170000,282882,301671,329,706,,,1370,1718,1944,2326,2739,3251,3999,4776,5082,5931,5615,6250,7079
        Ярославская область,все население,47844,156328,281441,334165,372,743,,,1635,1946,2018,2574,2907,3640,4389,5123,4849,5666,5638,6393,6858
        г.Москва,все население,60560,249659,440308,500705,569,1105,,,2566,3044,3374,4101,5084,5609,6441,7386,8267,9449,9265,9850,11861
        Республика Карелия,все население,95368,304533,476733,486067,"519,2",987,,,1817,2245,2623,3017,3493,4209,5016,5731,6185,7334,7322,8053,8802
        Республика Коми,все население,74867,260714,473767,483704,"461,7",850,,1759,2164,2445,2902,3435,3893,4796,5836,6670,7176,8090,8226,8408,9686
            Ненецкий автономный округ,все население,,,,678744,633,1102,,2408,2950,3708,4237,4807,5711,6105,7211,10322,10539,11873,12068,12562,16250
            Архангельская область (без АО),все население,75373,261822,439967,473697,494,1016,,,2039,2349,2707,3151,3914,4477,5428,5948,6815,7959,7800,8418,10395
        Вологодская область,все население,65780,203620,359411,399406,409,882,,,1777,1982,2120,2607,3392,3660,4464,5178,5561,6677,6381,6927,7953
        Калининградская область,все население,50733,204300,320692,332421,368,713,,,1927,2101,2604,3056,3330,3804,4458,5393,5551,6097,5998,6839,7420
        Ленинградская область,все население,54629,196917,317652,320000,"422,5",872,,,,2067,2279,2683,3200,3591,4023,4666,5077,5600,5865,6250,6579
        Мурманская область,все население,94101,334372,518748,546856,"581,4",1109,,2096,2568,3133,3580,4243,5148,5461,6465,7482,8008,8840,8763,9925,10607
        Новгородская область,все население,58381,203840,327192,351688,371,802,,,1668,1945,2255,2596,3008,3641,4383,4869,5329,6047,5858,6333,7496
        Псковская область,все население,65606,217327,361457,321014,345,744,,1229,1497,1719,1938,2204,2809,3063,3800,4607,4892,5729,6232,6629,7756
        г.Санкт-Петербург,все население,53038,202361,314052,411005,510,1129,,,2117,2483,2740,3138,3374,3697,4380,5121,5462,6044,6310,6775,7694
        Республика Адыгея,все население,50968,153947,263548,268549,327,601,,,1380,1586,1830,2387,2894,3223,3897,4324,4547,5389,5225,5851,6603
        Республика Калмыкия,все население,41485,159847,278679,322867,334,656,,,1497,1792,1893,2235,2662,3116,3588,4344,4682,5554,5460,6729,7129
        Краснодарский край,все население,47771,154270,262333,307867,327,652,,1194,1519,1814,2076,2620,2984,3634,4065,4910,5638,5817,6004,6811,7421
        Астраханская область,все население,50896,179967,324641,352486,380,820,,,1692,1866,2022,2396,2876,3181,4164,4718,4954,5775,5589,6031,6542
        Волгоградская область,все население,52640,184000,326667,315667,366,867,,,1568,1831,1957,2244,2749,3318,4011,4616,5185,6068,5869,6628,7136
        Ростовская область,все население,47459,203675,265597,304744,308,602,,1237,1560,1859,2080,2514,3073,3364,4101,4715,5011,5850,5872,6738,7388
        Республика Дагестан,все население,81056,169399,280592,283932,305,622,,,1429,1595,1747,2101,2404,2704,3446,3947,4242,5021,4985,6268,6987
        Республика Ингушетия,все население,85633,194000,346333,370333,358,720,,1121,1834,1958,2113,2319,2700,2941,3639,4274,4601,5005,4945,5353,7070
        Кабардино-Балкарская Республика,все население,59987,168134,278673,313760,"368,2",662,,,,1619,1696,2004,2536,2798,3291,3834,4065,5034,4978,6370,6867
        Карачаево-Черкесская Республика,все население,59987,155723,255382,291297,333,642,,,1331,1636,1831,2138,2564,2886,3510,3931,4408,5399,5158,6178,6908
        Республика Северная Осетия - Алания,все население,45467,175522,297881,361567,392,812,,,1318,1518,1740,2013,2589,2784,3383,3881,4391,5229,5109,6156,6734
        Чеченская Республика,все население,,,,,,,,,,2125,2290,2515,3006,3197,3842,4500,5518,6411,6586,7441,6551
        Ставропольский край,все население,43667,153805,283605,338204,374,725,,,1520,1814,2092,2464,2933,3259,4082,4697,5159,6075,5849,6228,6800
        Республика Башкортостан,все население,54200,163133,262433,309000,324,702,,,1437,1717,1882,2254,2862,3135,3708,4242,4751,5796,5485,6156,6790
        Республика Марий Эл,все население,42616,158124,322700,363400,381,702,,,1445,1718,1910,2168,2682,2975,3636,4263,4681,5512,5178,5557,6642
        Республика Мордовия,все население,48831,167901,350091,345795,352,886,,,1488,1754,1901,2357,2744,3009,3627,4153,4589,5518,5343,5993,6510
        Республика Татарстан,все население,37375,136220,235881,272102,304,566,,,1481,1730,1896,2384,2730,3023,3597,4048,4431,5354,5111,5884,6621
        Удмуртская Республика,все население,65800,183300,338108,403206,404,804,,,1500,1905,2055,2404,2743,3297,3811,4331,4665,5600,5362,6035,6893
        Чувашская Республика,все население,43059,154372,262180,325051,331,725,,,1407,1693,1913,2239,2479,3069,3667,4273,4594,5604,5276,5961,6472
        Пермский край,все население,,,,,,,,,,,,,,3866,4695,5407,5663,6690,6690,6916,7827
            Коми-Пермяцкий автономный округ,все население,,,,309164,316,613,,,1591,1800,2166,2490,2723,,,,,,,,
        Кировская область,все население,64711,222077,343057,394987,"430,2",790,,1290,1602,1914,2126,2560,3019,3458,4132,4731,4995,6001,5710,6571,7087
        Нижегородская область,все население,46592,177796,280806,311212,322,674,,1209,1561,1963,2226,2601,3241,3534,4392,5000,5288,6281,6085,6579,6997
        Оренбургская область,все население,72227,228683,303495,322045,328,721,,,1526,1829,2034,2390,2723,3176,3849,4419,4781,5656,5443,6044,6458
        Пензенская область,все население,39828,148052,296855,362626,387,733,,,,1782,1917,2323,2690,3211,3766,4326,4722,5590,5371,5654,6290
        Самарская область,все население,53771,194600,354471,374097,378,783,,,1838,2205,2448,2956,3712,3969,4776,5450,5789,6733,6476,7020,7602
        Саратовская область,все население,59998,196206,363873,363521,359,777,,,1666,1930,2229,2560,2857,3432,4125,4555,4722,5487,5357,5924,6429
        Ульяновская область,все население,49217,115633,205289,271243,"269,3",544,,,1509,1811,2051,2386,2943,3214,3894,4422,4781,5702,5530,6325,6811
        Курганская область,все население,57844,204007,309281,330433,"327,8",637,,,1657,1946,2244,2573,2901,3252,4042,4518,4890,5808,5665,6330,6953
        Свердловская область,все население,67059,246924,386736,416489,"473,4",849,,,1918,2114,2279,2620,3266,3538,4235,5028,5468,6601,6527,7170,7317
            Ханты-Мансийский автономный округ-Югра,все население,,,,640843,629,1167,,,2703,3154,3540,3887,5006,5748,6973,7742,8498,9349,9190,10515,11086
            Ямало-Ненецкий автономный округ,все население,,,,754773,"755,5",1305,,,2703,3534,3872,4924,5574,6238,6984,8446,9293,10317,10586,11568,12749
            Тюменская область (без АО),все население,75600,284490,513017,561732,579,1022,,,,,2148,2481,3175,3777,4252,5145,5339,6090,6322,6809,7861
        Челябинская область,все население,62889,193554,334060,343524,354,803,,,1719,1995,2201,2475,2845,3300,3989,4591,4863,5824,5629,6799,7449
        Республика Алтай,все население,33003,139300,380840,393917,"382,6",796,,,1568,1893,2257,2876,3573,4214,5174,6619,6003,6013,5955,6714,7404
        Республика Бурятия,все население,60094,240598,383531,414115,396,812,,,1778,2151,2688,3280,3463,4120,4378,4916,5393,6332,6359,6995,7685
        Республика Тыва,все население,63425,272023,497988,579169,554,911,,1682,1844,2190,2519,2870,3241,3615,4400,5084,5528,6338,6126,6707,
        Республика Хакасия,все население,59567,216015,402300,439268,473,954,,,1761,2040,2377,2798,3208,3523,4126,4835,5294,6132,6009,6757,7529
        Алтайский край,все население,55272,164653,332333,378402,393,744,,,1410,1631,1912,2247,2448,3147,3854,4864,5295,6022,5994,6435,7082
        Забайкальский край,все население,,,,,,,,,,,,,,,,4971,5551,6224,6441,6884,7999
            Читинская область,все население,87567,317833,567700,561833,"549,2",1151,,1769,2053,2274,2618,3130,3098,3782,4381,,,,,,
        Красноярский край,все население,56100,203700,316667,398547,436,719,,,,2240,2692,3101,3619,3906,4969,5818,6274,7183,7187,7934,8478
            Таймырский (Долгано-Ненецкий) автономный округ,все население,,,,687437,809,1313,,,,3993,4230,5560,6016,6724,,,,,,,
            Эвенкийский автономный окpуг,все население,,,,716340,"713,5",1013,,,,,4402,5449,6057,9695,,,,,,,
        Иркутская область,все население,68093,246056,426358,482011,"454,5",836,,,1783,2288,2664,2839,3278,3635,4326,5113,5427,6140,6189,6689,8016
            Усть-Ордынский Бурятский автономный округ,все население,,,,373900,409,768,,,1815,2188,2741,2878,3080,3784,,,,,,,
        Кемеровская область,все население,66357,222862,380183,443202,432,849,,,1841,2113,2257,2521,2881,3311,3775,4232,4478,5335,5240,6697,7111
        Новосибирская область,все население,53274,190667,351967,480033,"501,2",981,,,1886,2217,2438,2854,3326,3876,4609,5267,5685,6709,6536,7106,8316
        Омская область,все население,53260,188063,311586,351451,"360,4",738,,,1488,1965,2090,2473,3190,3626,4286,4846,5046,5536,5324,6167,6772
        Томская область,все население,64903,214074,368484,442352,437,811,,,1701,2291,2612,3040,3470,3690,4519,5442,5853,6739,6610,7232,8163
        Республика Саха (Якутия),все население,120298,383809,853079,920108,"928,1",1596,,,,3259,3934,4507,5234,5909,7044,8342,9040,9826,10236,10869,12310
        Камчатский край,все население,,,,,,,,,,,,,,,8963,10556,11273,12465,12733,13517,14842
            Корякский автономный округ,все население,,,,1602133,1603,2368,,,3934,4195,4809,5253,5716,10783,,,,,,,
        Приморский край,все население,90096,288555,465843,499326,513,929,,,2378,2807,3098,3763,4309,4767,5614,6300,6562,7265,7560,9203,9993
        Хабаровский край,все население,84783,290607,469091,490553,"515,6",952,,,,2950,3377,3966,4786,5138,6438,7800,8515,9033,9039,9629,10811
        Амурская область,все население,96125,224974,425306,471081,"488,6",972,,,2053,2416,2868,3382,4299,4642,5357,6190,6914,7821,8005,8775,9428
        Магаданская область,все население,143202,450827,787215,852221,930,1797,,,,3259,3725,4329,5320,5768,6710,8474,9020,9942,10359,13372,14353
        Сахалинская область,все население,112557,402636,645710,751413,751,1255,,,2929,3616,4096,4933,5762,6164,6890,8094,8517,9879,9957,10148,11313
        Еврейская автономная область,все население,82833,265422,441083,463388,"477,5",902,,,1966,2398,2824,3433,3779,4181,5012,5940,6556,7275,7497,9116,9910
        Чукотский автономный округ,все население,,518061,949111,1217734,1538,2468,,,,,6263,6980,8137,8971,9502,10363,10987,11332,11724,12735,14951
